Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
1853,Associations between striatal iron and dopamine D1 receptor availability across the adult lifespan,Lifespan Development,Aging ,Modeling and Analysis Methods,PET Modeling and Analysis,4230,Jonatan,Gustavsson,Lifespan Development
1868,Associations of Sleep Duration with Global Cognition and Gray Matter Volume in Children aged 9 to 11,Lifespan Development,Normal Brain Development: Fetus to Adolescence,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",4294,Hoki,Fung,Lifespan Development
2600,Baseline fALFF Predicts Acute Treatment Response in First Episode Psychosis,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,7382,Todd,Lencz,Disorders of the Nervous System - Psychiatric
1179,Brain microstructural changes in female patients with functional constipation,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Modeling and Analysis Methods,Other Methods,1637,Zhenzhen,Jia,Neuroanatomy
2290,Brain network changes in post COVID-19 syndrome,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Brain Stimulation,TMS,5446,Martin,Tik,Modeling and Analysis - Connectivity
2521,Cardiac Gated Multiecho fMRI Analysis Methods Comparison,Modeling and Analysis Methods,Modeling and Analysis - Activation,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,7105,Tara,Maronesy,Modeling and Analysis - Activation
2005,Cerebral small vessel disease in people who are homeless or precariously housed,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,4757,Melissa,Woodward,Disorders of the Nervous System - Psychiatric
1820,Characterization The Dynamics of Generalized Neural Mass Model,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Classification and Predictive Modeling,4123,sepehr,radmannia,Modeling and Analysis - Multivariate approaches
1278,Childhood Maltreatment History Is Linked to Abnormal Brain Structure in Conduct Disorder,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Novel Imaging Acquisition Methods,Anatomical MRI ,2047,Marlene,Staginnus,Disorders of the Nervous System - Neurodevelopmental/Early Life
2532,Classification of HIV Associated Neurocognitive Disorders Using Fiber Specific White Matter Changes,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Classification and Predictive Modeling,6289,Alan,Finkelstein,Disorders of the Nervous System - Neurodegenerative/Late Life
1782,CloudReg: Automatic Terabyte-Scale Cross-Modal Brain Volume Registration,Modeling and Analysis Methods,Image Registration and Computational Anatomy,Modeling and Analysis Methods,Methods Development,3617,Vikram,Chandrashekhar,Modeling and Analysis - Activation
1431,Column-Scale Encoding of Personal Space using high resolution 7T fMRI,Modeling and Analysis Methods,Modeling and Analysis - Activation,"Social Neuroscience, Emotion and Motivation",Social Cognition,2596,Zahra,Nasiriavanaki,Modeling and Analysis - Activation
2132,Comparison of single- and multi-echo pre-processing strategies for motion correction of rs-fMRI,Modeling and Analysis Methods,Motion Correction and Preprocessing,Neuroinformatics and Data Sharing,Workflows,1117,Mihail,Dimitrov,Neuroinformatics and Data Sharing
1203,Correction of induced functional connectivity in filtered resting state fNIRS data,Novel Imaging Acquisition Methods,NIRS,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1705,Mengmeng,Wang,Novel Imaging Acquisition Methods
2000,Cortical gyrification differences between early- and late-onset obsessiveâ€“compulsive disorder,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Neuroanatomy,Cortical Anatomy and Brain Mapping,4461,Inkyung,Park,Disorders of the Nervous System - Psychiatric
1947,Cortical hypometabolism lateralizes seizure focus in temporal lobe epilepsy with non-lesional MRI,Modeling and Analysis Methods,PET Modeling and Analysis,Novel Imaging Acquisition Methods,Anatomical MRI ,4602,Julia,Simon,Novel Imaging Acquisition Methods
2209,Cortical remodeling across the lifespan reveals structural vulnerability to neurodegeneration,Lifespan Development,Aging ,Novel Imaging Acquisition Methods,Anatomical MRI ,5614,Camilla,Cividini,Lifespan Development
1969,Dataset shift when defining biomarkers with machine learning,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Methods Development,1303,JÃ©rÃ´me,DockÃ¨s,Modeling and Analysis - Multivariate approaches
1810,Deep Mediation: a new approach towards high-dimensional mediation analysis,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Modeling and Analysis - Activation,4099,Tanmay,Nath,Modeling and Analysis - Activation
2542,Denoising of Blood Delay Maps by Random Matrix Theory,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,7191,serdar,aslan,Modeling and Analysis - Activation
2655,Differences in brain connectivity trends across Alzheimerâ€™s disease and mild traumatic brain injury,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,7610,Hyung Jun,Lee,Disorders of the Nervous System - Neurodegenerative/Late Life
2360,Distributed dysconnectivity between default network and attention networks in youth with ADHD,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Lifespan Development,"Early life, Adolescence, Aging",6391,Tristan,Greathouse,Lifespan Development
1385,Does fMRI heat the Brain? - Magnetic Resonance Spectroscopy Thermometry study at 3 Tesla,Novel Imaging Acquisition Methods,MR Spectroscopy,Modeling and Analysis Methods,Methods Development,2397,Marcin,SiÅ„czuk,Novel Imaging Acquisition Methods
1445,Dynamic functional connectivity changes associated with small vessel disease,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2235,Zhixian,Hu,Novel Imaging Acquisition Methods
1855,EEGNET2: An open source tool for group-level analysis of M/EEG connectome,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,4243,iman,almarouk,Modeling and Analysis - Connectivity
1566,Effect of Normobaric Hypoxia on Spontaneous EEG Power Spectra,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,3076,Evan,Hutcheon,"Physiology, Metabolism and Neurotransmission"
2201,Effect of obesity on arithmetic processing in preteens with high and low math skill,Lifespan Development,"Early life, Adolescence, Aging",Novel Imaging Acquisition Methods,EEG ,5619,Graciela,Alatorre-Cruz,Lifespan Development
1105,"Effects of auditory and visual stimulation on homo-, cross and hetero-modal brain networks",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Brain Stimulation,Non-Invasive Stimulation Methods Other,1340,Anissa Lintang,Ramadhani,Brain Stimulation
2013,Effects of fMRI temporal resolution on brain effective connectivity measured by Granger causality,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Novel Imaging Acquisition Methods,BOLD fMRI ,4766,Xinxin,Zhang,Modeling and Analysis - Connectivity
2611,Effects of Parkinsonâ€™s Disease on Motor and Cognitive Task-Switching Networks,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",7228,Jennifer,Cale,Disorders of the Nervous System - Neurodegenerative/Late Life
1425,"Effects of pregnancy, menopause and lifestyle risk factors on cortical thickness in healthy ageing",Lifespan Development,Aging ,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2577,Manuela,Costantino,Lifespan Development
2039,Effects of SENSE1 Image Reconstruction on tSNR and Explainable Variance in Multi-channel fMRI,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,Novel Imaging Acquisition Methods,BOLD fMRI ,1971,An,Vu,Novel Imaging Acquisition Methods
1772,Effects of the education on the information communication in the elders,Higher Cognitive Functions,Higher Cognitive Functions Other,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1983,Daegyeom,Kim,Higher Cognitive Functions
2523,Empathy Relies on Fine-Grained Internal Simulation,"Social Neuroscience, Emotion and Motivation",Social Cognition,Motor Behavior,Mirror System,7096,Leo,Christov-Moore,"Social Neuroscience, Emotion and Motivation"
2660,Enhanced Functional Connectivity Following Sleep-Related Consolidation of Cognitive Strategies,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Higher Cognitive Functions,Reasoning and Problem Solving ,1674,Nicholas,van den Berg,"Sleep, Consciousness, Pain"
1180,Enhanced Thalamocortical Functional Connectivity in Brains with Glioma at 7T,Neuroanatomy,Subcortical Structures,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1639,Siqi,Cai,Neuroanatomy
1788,Entropy Mapping Revealed A Common Neural Substrate for Different Substance Dependence,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,4028,Ze,Wang,Disorders of the Nervous System - Psychiatric
2324,Estimating the true discovery proportion of clusters based on cluster extent thresholding in fMRI,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Univariate Modeling,6277,Jelle,Goeman,Modeling and Analysis - Activation
2536,Evolvement of Infant Brain State and Its Association with Cognition,Lifespan Development,"Early life, Adolescence, Aging",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5356,Weixiong,Jiang,Lifespan Development
2336,Executive function performance and brain nodal properties in Parkinson's Disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",4264,Giacomo,Tomezzoli,Disorders of the Nervous System - Neurodegenerative/Late Life
1438,Exploring Shared Genetic Effects of Emotion and Subcortical Volumes,Genetics,Genetic Association Studies,Neuroanatomy,Subcortical Structures,2165,Seung Yun,Choi,Genetics
1880,Exploring the mechanisms of less affected hand impairment in unilateral stroke with diffusion MRI.,Novel Imaging Acquisition Methods,Diffusion MRI ,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,4373,Firdaus Fabrice,HANNANU,Novel Imaging Acquisition Methods
2049,Eyes open and closed resting-state conditions: a comparison of DMN functional connectivity pattern,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Perception, Attention and Motor Behavior",Attention: Visual,3340,Chenyang,Jiang,Software Demonstrations
2238,Fluctuations in estradiol and progesterone are not related to high amplitude co-fluctuations in fMRI,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",4687,Catherine,Cai,"Physiology, Metabolism and Neurotransmission"
1212,Fractal dimension of DTI-derived WM skeleton is reduced in CADASIL,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,1386,Chiara,Marzi,Disorders of the Nervous System - Neurodegenerative/Late Life
1734,From correlation to communication: decomposing functional connectivity changes,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2544,Yuhua,Yu,Modeling and Analysis - Connectivity
1715,Frontal and Temporal Lobe Epilepsy Demonstrate Consistent Changes in the Uncinate Fasciculus,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Novel Imaging Acquisition Methods,Diffusion MRI ,3729,Derrick,Lewis,Neuroanatomy
2316,Functional connectivity in neurodegenerative diseases different ipsi/contralateral spatial decay,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,6250,Ignacio,Cifre,Modeling and Analysis - Connectivity
1471,Functional Connectivity of the Medial Prefrontal Cortex Related to Mindreading Abilities,"Social Neuroscience, Emotion and Motivation",Social Cognition,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2477,Marine,Le Petit,"Social Neuroscience, Emotion and Motivation"
2645,Functional/Structural Intrinsic Network Measures of Brain Reserve to Predict Outcomes in Epilepsy,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,7565,Walter,Hinds,Modeling and Analysis - Connectivity
1360,Gamma band artifact removal in EEG-fMRI simultaneous recordings,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,Modeling and Analysis Methods,Methods Development,2334,Narges,Moradi,Modeling and Analysis - Activation
1379,"Gender difference in behavioral response delay under stress, the role of dACC-DMN connectivity",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,"Social Neuroscience, Emotion and Motivation",Social Neuroscience Other,1946,Lixin,Qiu,Modeling and Analysis - Connectivity
1525,Granger Causality for intracranial EEG: hypothesis testing during visual discrimination task,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,2925,Anna,Pidnebesna,Modeling and Analysis - Connectivity
1391,Gray and White Matter Brain Age has Distinct Associations with Lifestyle and Fluid Intelligence,Modeling and Analysis Methods,Classification and Predictive Modeling,Higher Cognitive Functions,Higher Cognitive Functions Other,2417,Hui-Ming,Tseng,Software Demonstrations
1572,Hierarchical Bayesian modelling for the inference of group-level brain states using functional MRI,Modeling and Analysis Methods,Bayesian Modeling,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,3102,Lingbin,Bian,Modeling and Analysis - Multivariate approaches
2395,High-field brain imaging of amygdala subregions in adolescents with major depressive disorder,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,6588,Zeynep,BaÅŸgÃ¶ze,Modeling and Analysis - Connectivity
1145,Hippocampal Metabolic Subregions in Healthy Older and Their Profiles in Neurodegeneration,Modeling and Analysis Methods,PET Modeling and Analysis,Modeling and Analysis Methods,Segmentation and Parcellation,1526,Somayeh,Maleki Balajoo,Modeling and Analysis - Activation
2520,Hippocampus Diffusivity Abnormalities in Classic Trigeminal Neuralgia,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Neuroanatomy,Subcortical Structures,6386,Shaun,Hanycz,"Perception, Attention and Motor Behavior"
1416,Human Thalamic Activity During Intra-Dimensional and Extra-Dimensional Set Shifting,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2530,Juniper,Hollis,Higher Cognitive Functions
2187,Imaging the Human Pain Matrix in Experimental Periodontal Pain,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Modeling and Analysis Methods,Modeling and Analysis - Activation,5557,Angelika,Maurer,"Perception, Attention and Motor Behavior"
2563,Implementation of a 3D convolutional network to predict impairment of multiple sclerosis subjects,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,5873,Emily,Olafson,Modeling and Analysis - Connectivity
1265,Incidental MRI findings and the cognitive performance in the elderly: the Shanghai Changfeng study,Lifespan Development,Aging ,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,2015,Liangqi,Wang,Lifespan Development
1643,Individual modeling of neurophysiological brain connectivity,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3392,Shanna,Kulik,Modeling and Analysis - Connectivity
2359,Inspectro Gadget: A Tool For Extracting Gene Subunit Distribution in MRS Regions,Genetics,Genetics Other,Neuroinformatics and Data Sharing,Brain Atlases,6399,Elizabeth,McManus,Genetics
2530,Introducing micapipe: an integrated BID compatible processing pipeline for multiscale imaging and co,Neuroinformatics and Data Sharing,Workflows,Modeling and Analysis Methods,Methods Development,7123,RaÃºl,RodrÃ­guez-Cruces,Software Demonstrations
2329,Is Parental History of Depression Related to Child Brain Structure?: Results From the ABCD Study,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Neuroanatomy,Neuroanatomy Other,6257,Matthew,Albaugh,Disorders of the Nervous System - Psychiatric
2565,Laminar Representations of Vibrotactile Stimuli with Varying Frequency in S1: a 7T fMRI Study,"Perception, Attention and Motor Behavior",Perception: Tactile/Somatosensory ,Novel Imaging Acquisition Methods,Non-BOLD fMRI,7278,Ji-Hyun,Kim,"Perception, Attention and Motor Behavior"
1726,Leveraging Numerical Instabilities In Connectome Estimation For More Generalizable Models,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Classification and Predictive Modeling,1670,Gregory,Kiar,Modeling and Analysis - Multivariate approaches
1536,Load-Dependent Differences in Phase Locking during the Working Memory Delay Period,Learning and Memory,Working Memory ,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2959,Chelsea,Reichert Plaska,Learning and Memory
2566,Machine Learning Based Brain Age Prediction Model Employing QEEG Features,Lifespan Development,"Early life, Adolescence, Aging",Modeling and Analysis Methods,Classification and Predictive Modeling,7297,Hyerin,Jeong,Lifespan Development
2573,Machine learning model to predict prognosis of coma patients in one month with QEEG,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,7323,SeonMyeong,Kim,"Sleep, Consciousness, Pain"
1621,Machine Learning Reveals Multimodal MRI Signatures Associated with Handedness,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Higher Cognitive Functions,Higher Cognitive Functions Other,3307,Pattarawat,Chormai,Modeling and Analysis - Multivariate approaches
1248,Mapping structure to function and behavior with individual-level connectome embedding,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,"Perception, Attention and Motor Behavior",Perception: Visual,1944,Gidon,Levakov,Modeling and Analysis - Connectivity
1698,Melatonin Dose Correlates with More Lo Deep Sleep in a Military PTSD Population,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,3625,Julie,Onton,"Sleep, Consciousness, Pain"
1917,Modulation of alpha-band oscillations indexes automatic attentional capture by emotional distractors,"Perception, Attention and Motor Behavior",Attention: Visual,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,1712,Lydia,Arana,"Perception, Attention and Motor Behavior"
1848,Multimodal brain data improve prediction of processing speed in older adults,Modeling and Analysis Methods,Classification and Predictive Modeling,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,4212,Mengxia,Gao,Novel Imaging Acquisition Methods
1944,Multi-modal Latent Variable Model could help individuals stratification:  application to HBN cohort,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,4317,Corentin,Ambroise,Modeling and Analysis - Multivariate approaches
2653,Neural encoding of temporal and spectral statistical regularities of reverberant environments.,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,"Perception, Attention and Motor Behavior",Perception: Auditory/ Vestibular ,7227,Haydee,Garcia-Lazaro,"Perception, Attention and Motor Behavior"
1520,Neural mechanisms of emotion regulation obesity: A study with fMRI and dynamic causal modeling,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Social Neuroscience, Emotion and Motivation",Emotion and Motivation Other,2262,Pablo,Maturana,"Social Neuroscience, Emotion and Motivation"
2241,"Neural Mechanisms of Visual Word Recognition on Chinese, Pinyin and English",Language,Reading and Writing,Language,Language Comprehension and Semantics,5808,Shujie,Geng,Language
2291,Neuromarkers of attention and working memory distinguish these processes in children,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Perception, Attention and Motor Behavior",Attention: Visual,6022,Omid,Kardan,"Perception, Attention and Motor Behavior"
1114,Optimization of isometric hand-grip tasks for use in fMRI studies of motor control,Modeling and Analysis Methods,Methods Development,Motor Behavior,Motor Planning and Execution,1421,Neha,Reddy,"Perception, Attention and Motor Behavior"
1833,Partial volume effect correction of PET images using 3d-residual-U-net,Modeling and Analysis Methods,PET Modeling and Analysis,Modeling and Analysis Methods,Methods Development,1986,Changseok,Lee,Modeling and Analysis - Activation
2529,Probabilistic Logic for Coordinate-Based Meta-Analysis of Functional Segregation in the Brain,Modeling and Analysis Methods,Methods Development,Neuroanatomy,Cortical Anatomy and Brain Mapping,7133,Majd,Abdallah,Neuroanatomy
1700,Putamen connectivity in aging and Alzheimerâ€™s Disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,3651,Maria,Misiura,Disorders of the Nervous System - Neurodegenerative/Late Life
2555,QEEG-based Machine Learning Algorithm to Predict Cognitive Impairment After Acute Ischemic Stroke,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Classification and Predictive Modeling,2162,Yuseong,Hong,Modeling and Analysis - Multivariate approaches
1247,Radial Correlation and Radial Similarity Contrast Reveal Abnormal Brain Networks in Dystonia,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1030,Satoru,Kohno,Disorders of the Nervous System - Neurodegenerative/Late Life
2183,Random-forest classification of psychogenic non-epileptic seizures and temporal lobe epilepsy.,Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,1480,Maria Eugenia,Caligiuri,Disorders of the Nervous System - Psychiatric
1188,Reproducibility Test of Global Functional Connectivity,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1661,Jian,Lin,Modeling and Analysis - Connectivity
1457,Reproducible surface-based stability of dynamic functional architecture during rumination,Novel Imaging Acquisition Methods,BOLD fMRI ,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,2656,Xiao,Chen,Novel Imaging Acquisition Methods
1697,Resilience of the Infant Brain,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3642,Maryam,Ghanbari,Modeling and Analysis - Connectivity
1930,Resting EEG effective connectivity at the sources in developmental Dysphonetic Dyslexia,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,4499,Jorge,Bosch,Disorders of the Nervous System - Neurodevelopmental/Early Life
2601,Resting State Correlates of Picture Description in Left versus Right Hemisphere Chronic Stroke,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Language,Language Other,7395,Erin,Meier,Language
1526,Resting State Frontal Theta Rhythms are Altered After Working Memory Task,Learning and Memory,Working Memory ,Learning and Memory,Neural Plasticity and Recovery of Function,3975,Tharunika,Venkatesan,Learning and Memory
1707,Resting State Global Functional Connectivity as a Predictor of Outcome in Resective Epilepsy Surgery,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1666,Mark,Lowe,Disorders of the Nervous System - Neurodevelopmental/Early Life
1712,Resting-state functional connectivity in individuals with Compulsive Sexual Behavior Disorder,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,3465,Sylwia,Adamus,Disorders of the Nervous System - Psychiatric
2657,Rivermead Post-Concussion Questionnaire Scores Predict PVS Volume Fraction in mTBIâ€“A TRACK-TBI Study,Neuroanatomy,Neuroanatomy Other,Novel Imaging Acquisition Methods,Anatomical MRI ,7600,Rachel,Custer,Neuroanatomy
1934,Self-identification & self-location brain networks: A lesion network mapping analysis,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4553,Sophie,Betka,"Sleep, Consciousness, Pain"
1789,Sex classification models based on temporal complexity features,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Other Methods,4043,Liam,Spoletini,Modeling and Analysis - Multivariate approaches
2637,Sex differences in functional correlation of the default mode network after traumatic brain injury,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Physiology, Metabolism and Neurotransmission",Neurophysiology of Imaging Signals,7559,Anar,Amgalan,"Physiology, Metabolism and Neurotransmission"
2111,Sex effects in adolescent longitudinal development of subcortical volumes in two European samples,Neuroanatomy,Subcortical Structures,Lifespan Development,"Early life, Adolescence, Aging",5163,Lea,Backhausen,Neuroanatomy
2321,Stability and Reproducibility of CCA and PLS models on brain-psychopathology relationships,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Novel Imaging Acquisition Methods,Anatomical MRI ,6242,Hajer,Nakua,Modeling and Analysis - Multivariate approaches
1762,Synthesis-based Paradigm Free Mapping and analysis-based Total Activation operate identically,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,3311,Eneko,UruÃ±uela,Modeling and Analysis - Activation
1771,Task-general and multi-domain activation in the human thalamus,Modeling and Analysis Methods,Modeling and Analysis - Activation,Modeling and Analysis Methods,Classification and Predictive Modeling,2610,Evan,Sorenson,Modeling and Analysis - Activation
2166,Task-specific Interactions of Overlapping Networks Across Key Cognitive Domains,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Higher Cognitive Functions,Higher Cognitive Functions Other,5424,Kathleen,Williams,Modeling and Analysis - Connectivity
1906,The gradient model of cortical organization in decisions about â€˜empathy for painâ€™,Neuroanatomy,Anatomy and Functional Systems,Higher Cognitive Functions,Decision Making,4464,Karin,Labek,Neuroanatomy
2130,The Medial Temporal Lobe in Resting-State Networks,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Segmentation and Parcellation,5257,Sara,Seoane,Modeling and Analysis - Connectivity
1714,The role of nucleus accumbens in stressful events: volumetric and connectivity findings,"Social Neuroscience, Emotion and Motivation",Emotion and Motivation Other,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,3436,Yizhou,Ma,"Social Neuroscience, Emotion and Motivation"
1522,Topological Features of Task Connectivity Brain Networks Predict Age and Performance,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,2914,Dekang,Yuan,Modeling and Analysis - Connectivity
1554,Traumatic Brain Injury Accelerates Brain Aging: A Longitudinal DoD ADNI Study,Novel Imaging Acquisition Methods,Anatomical MRI ,Lifespan Development,Aging ,1470,Emily,Dennis,Novel Imaging Acquisition Methods
2061,Variations in extrastriate body area representational patterns in gender incongruence,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,4977,Adnan,Majid,Disorders of the Nervous System - Neurodevelopmental/Early Life
2233,Visual association cortex is recruited when reading words with high imageability in autism,Language,Language Comprehension and Semantics,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,5771,Shannon,Cahalan,Language
2068,What our morning coffee tells us about face perception,Higher Cognitive Functions,Higher Cognitive Functions Other,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,5009,Andreas,Jansen,Higher Cognitive Functions
2644,White matter integrity change across six months after mild traumatic brain injury,Novel Imaging Acquisition Methods,Diffusion MRI ,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,7602,David,Robles,Novel Imaging Acquisition Methods
1399,(Un)common space in infant neuroimaging studies: a systematic review of infant templates,Modeling and Analysis Methods,Image Registration and Computational Anatomy,Neuroinformatics and Data Sharing,Brain Atlases,2456,C. Alice,Hahn,Neuroinformatics and Data Sharing
1577,A Deep Learning Based Comparison of Response to TMS Treatment for Sex Differences in MDD Subjects,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,3119,Caglar,Uyulan,Modeling and Analysis - Multivariate approaches
1427,"A resting-state fMRI study among Normal, High Risk, and and Cognitively Impaired Older Individuals",Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5633,Neda,Rashidi-Ranjbar,Disorders of the Nervous System - Neurodegenerative/Late Life
